Test Group,Rack,host  IP,idrac ip,Model,Service tag,Hostname,sys_gen,Form,Slot,bios version,cpu_name,cpu family,memory,backplane,boss card info,perc info,perc version
ESS-DR,B11,10.148.51.254,10.148.51.243,R6715,G0TLDB4,,17G,,10,1.2.4,AMD EPYC 9115,Turin,DDR5 DIMM,1.77,BOSS-N1 DC-MHS,PERC H965i Front,
ESS-DR,B12,,10.148.83.231,R6615,DYYCH04,B12S20-DEL-U2204.micron.com,16G,,14,1.12.4,AMD EPYC 9224,Genoa,DDR5 DIMM,7.1,BOSS-N1 Monolithic,PERC S160 Controller,2.1.13.2033
,B12,,10.148.83.233,R750,2824MH3,CVE-DELL-16-11,15G,,28,1.11.2,Intel Xeon Gold 6330,Ice Lake,DDR4 DIMM,1.19,,PERC H755 Front,
,B12,,10.148.83.232,R650XS,CY87MH3,CVE-DELL-16-12,15G,,12,1.2.1,Intel Xeon Gold 6330,Ice Lake,DDR4 DIMM,3.48,BOSS-S1,PERC H345 Front,2.6.13.3024
ESS-DR,B12,,10.148.83.237,R7625,62DM794,,16G,,36,1.12.4,AMD EPYC 9374F,Genoa,DDR5 DIMM,1.75,BOSS-N1 Monolithic,,
ESS-DR,B12,,10.148.83.240,R960,B3VD7Y3,WIN-PTC80EJ7Q29,16G,,24,2.6.3,Intel Xeon Gold 6416H,Sapphire Rapids,DDR5 DIMM,7.1,,,
ESS-DR,B12,10.148.83.227,10.148.83.239,R470,CDSW794,MINWINPC,17G,,8,1.3.2,Intel Xeon 6730P,Granite Rapids,DDR5 DIMM,1.77,BOSS-N1 DC-MHS,,
ESS-DR,B12,,10.148.83.241,R6725,1D8W794,MINWINPC,17G,,8,1.2.4,AMD EPYC 9015,Turin,DDR5 DIMM,1.77,BOSS-N1 DC-MHS,,
ESS-DR,B12,10.148.83.221,10.148.83.244,R660,FZ70XX3,B12S26-DEL-SLES155.micron.com,16G,,8,2.3.5,Intel Xeon Gold 5418Y,Sapphire Rapids,DDR5 DIMM,7.1,,,
,B12,,10.148.83.242,R760XD2,97BD8Y3,,16G,,26,1.4.4,Intel Xeon Gold 6426Y,Sapphire Rapids,DDR5 DIMM,7.1,,PERC H965i Adapter,
,B12,,10.148.83.246,R660,2080XX3,D12S24-DEL-WIN2,16G,,12,2.5.4,Intel Xeon Gold 6430,Sapphire Rapids,DDR5 DIMM,7.1,BOSS-N1 Monolithic,,
BVT(tmp),B12,,10.148.83.245,R6625,2GMN7Y3,WIN-IRPGEBTDIV6,16G,,8,1.10.6,AMD EPYC 9224,Genoa,DDR5 DIMM,7.1,,PERC H965i Front,
,B12,,10.148.83.243,R760,8220XX3,B12S27-DEL-U2204.micron.com,16G,,24,2.6.3,Intel Xeon Gold 6430,Sapphire Rapids,DDR5 DIMM,7.1,,,
